,Model,Compressor,error_bound,epochs,miou,class,iou,run,model_num
0,unet,sz3,base,10,0.2779247729847886,unlabeled,0.3574791106978734,0,18
1,unet,sz3,base,10,0.2779247729847886,road,0.8270447566690571,0,18
2,unet,sz3,base,10,0.2779247729847886,sidewalk,0.4366161304333935,0,18
3,unet,sz3,base,10,0.2779247729847886,building,0.6745011691202136,0,18
4,unet,sz3,base,10,0.2779247729847886,wall,0.14074301138443984,0,18
5,unet,sz3,base,10,0.2779247729847886,fence,0.10655026075975496,0,18
6,unet,sz3,base,10,0.2779247729847886,pole,0.01581783417347471,0,18
7,unet,sz3,base,10,0.2779247729847886,traffic light,0.0,0,18
8,unet,sz3,base,10,0.2779247729847886,traffic sign,0.003742216190324126,0,18
9,unet,sz3,base,10,0.2779247729847886,vegetation,0.6754208573965726,0,18
10,unet,sz3,base,10,0.2779247729847886,terrain,0.3187012723163268,0,18
11,unet,sz3,base,10,0.2779247729847886,sky,0.6401681038000163,0,18
12,unet,sz3,base,10,0.2779247729847886,person,0.21338244481466057,0,18
13,unet,sz3,base,10,0.2779247729847886,rider,0.014720428230639437,0,18
14,unet,sz3,base,10,0.2779247729847886,car,0.6229884914065686,0,18
15,unet,sz3,base,10,0.2779247729847886,truck,0.15252644766146994,0,18
16,unet,sz3,base,10,0.2779247729847886,bus,0.1481355622067415,0,18
17,unet,sz3,base,10,0.2779247729847886,train,0.0,0,18
18,unet,sz3,base,10,0.2779247729847886,motorcycle,0.10571332265947586,0,18
19,unet,sz3,base,10,0.2779247729847886,bicycle,0.10424403977476938,0,18
20,unet,sz3,1E-7,10,0.2837833303345849,unlabeled,0.3702359682874554,0,18
21,unet,sz3,1E-7,10,0.2837833303345849,road,0.8374254884167474,0,18
22,unet,sz3,1E-7,10,0.2837833303345849,sidewalk,0.4164703704084676,0,18
23,unet,sz3,1E-7,10,0.2837833303345849,building,0.6646086930672004,0,18
24,unet,sz3,1E-7,10,0.2837833303345849,wall,0.14312902596135077,0,18
25,unet,sz3,1E-7,10,0.2837833303345849,fence,0.08309952191287173,0,18
26,unet,sz3,1E-7,10,0.2837833303345849,pole,0.0021864369946913488,0,18
27,unet,sz3,1E-7,10,0.2837833303345849,traffic light,0.0,0,18
28,unet,sz3,1E-7,10,0.2837833303345849,traffic sign,0.0,0,18
29,unet,sz3,1E-7,10,0.2837833303345849,vegetation,0.6661024458842492,0,18
30,unet,sz3,1E-7,10,0.2837833303345849,terrain,0.3122944392104209,0,18
31,unet,sz3,1E-7,10,0.2837833303345849,sky,0.6287079719769774,0,18
32,unet,sz3,1E-7,10,0.2837833303345849,person,0.2108830375412614,0,18
33,unet,sz3,1E-7,10,0.2837833303345849,rider,0.009220745222374123,0,18
34,unet,sz3,1E-7,10,0.2837833303345849,car,0.6213300354837832,0,18
35,unet,sz3,1E-7,10,0.2837833303345849,truck,0.03501390940000687,0,18
36,unet,sz3,1E-7,10,0.2837833303345849,bus,0.2618061220109046,0,18
37,unet,sz3,1E-7,10,0.2837833303345849,train,0.22664119485932616,0,18
38,unet,sz3,1E-7,10,0.2837833303345849,motorcycle,0.0,0,18
39,unet,sz3,1E-7,10,0.2837833303345849,bicycle,0.1865112000536092,0,18
40,unet,sz3,1E-7,10,0.28579531682526443,unlabeled,0.39067999378528145,1,18
41,unet,sz3,1E-7,10,0.28579531682526443,road,0.8340733287851835,1,18
42,unet,sz3,1E-7,10,0.28579531682526443,sidewalk,0.4313963615077935,1,18
43,unet,sz3,1E-7,10,0.28579531682526443,building,0.6700657197211232,1,18
44,unet,sz3,1E-7,10,0.28579531682526443,wall,0.11881361114751234,1,18
45,unet,sz3,1E-7,10,0.28579531682526443,fence,0.08090513489991297,1,18
46,unet,sz3,1E-7,10,0.28579531682526443,pole,0.008540123857780087,1,18
47,unet,sz3,1E-7,10,0.28579531682526443,traffic light,6.519967400162999e-05,1,18
48,unet,sz3,1E-7,10,0.28579531682526443,traffic sign,0.003754362980416695,1,18
49,unet,sz3,1E-7,10,0.28579531682526443,vegetation,0.6801962431559266,1,18
50,unet,sz3,1E-7,10,0.28579531682526443,terrain,0.3028694991525919,1,18
51,unet,sz3,1E-7,10,0.28579531682526443,sky,0.6520303969420311,1,18
52,unet,sz3,1E-7,10,0.28579531682526443,person,0.19455544062952915,1,18
53,unet,sz3,1E-7,10,0.28579531682526443,rider,0.037536745307906835,1,18
54,unet,sz3,1E-7,10,0.28579531682526443,car,0.6112929604970612,1,18
55,unet,sz3,1E-7,10,0.28579531682526443,truck,0.31865569680408695,1,18
56,unet,sz3,1E-7,10,0.28579531682526443,bus,0.14617513801048415,1,18
57,unet,sz3,1E-7,10,0.28579531682526443,train,0.0012074594159474084,1,18
